hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
CHIVOR,2024_Q3_holidays,752.13418,0.12028
CHIVOR,2024_Q3_labor,751.290348,0.31044
CUCUANA,2024_Q3_holidays,22.643375199999998,0.16174000000000002
CUCUANA,2024_Q3_labor,22.264142,0.014410000000000001
C_LLERAS_R,2024_Q3_holidays,52.2679636,13.59403
C_LLERAS_R,2024_Q3_labor,53.556584,0.16553
DARIO VALENC,2024_Q3_holidays,120.60973199999995,0.2335
DARIO VALENC,2024_Q3_labor,99.18175959999999,0.0077
EL QUIMBO,2024_Q3_holidays,130.93488799999997,80.49195
EL QUIMBO,2024_Q3_labor,199.0381768,29.585459999999998
ESCUELAMINAS,2024_Q3_holidays,30.927227600000002,8.72028
ESCUELAMINAS,2024_Q3_labor,31.23171,1e-05
ESMERALDA,2024_Q3_holidays,21.28717,0.0003
ESMERALDA,2024_Q3_labor,22.1891716,2.9999999999999997e-05
GUATAPE,2024_Q3_holidays,356.6304156,36.24
GUATAPE,2024_Q3_labor,417.64802000000003,0.072
GUAVIO,2024_Q3_holidays,273.81471480000005,5.9999999999999995e-05
GUAVIO,2024_Q3_labor,590.2868027999999,0.00091
H_ALBAN,2024_Q3_holidays,4.0278,2.799
H_ALBAN,2024_Q3_labor,40.35696,2.778
H_GUATRON,2024_Q3_holidays,324.3757836,0.03
H_GUATRON,2024_Q3_labor,413.6374992,0.15
H_PAGUA,2024_Q3_holidays,401.16938280000005,5e-05
H_PAGUA,2024_Q3_labor,397.005718,1e-05
ITUANGO,2024_Q3_holidays,290.8040964,2.29334
ITUANGO,2024_Q3_labor,291.0365236,0.00852
JAGUAS,2024_Q3_holidays,129.09443720000002,1.77504
JAGUAS,2024_Q3_labor,114.6909192,0.02259
LA TASAJERA,2024_Q3_holidays,268.57887680000005,4.98666
LA TASAJERA,2024_Q3_labor,210.2304988,0.36667
MIEL I,2024_Q3_holidays,32.929508,31.7675
MIEL I,2024_Q3_labor,33.150902,21.61449
PLAYAS,2024_Q3_holidays,204.81,0.59
PLAYAS,2024_Q3_labor,204.83,0.06
PORCE II,2024_Q3_holidays,269.606,0.276
PORCE II,2024_Q3_labor,270.296,2.346
PORCE III,2024_Q3_holidays,675.403374,3.13005
PORCE III,2024_Q3_labor,686.3398228,0.00504
PRADO,2024_Q3_holidays,30.4295248,2e-05
PRADO,2024_Q3_labor,42.263093999999995,4e-05
SALTO II,2024_Q3_holidays,22.66330199999998,0.00843
SALTO II,2024_Q3_labor,20.711666800000003,7.000000000000001e-05
SALVAJINA,2024_Q3_holidays,94.63195040000001,0.023280000000000002
SALVAJINA,2024_Q3_labor,94.52671720000001,0.016309999999999998
SAN CARLOS,2024_Q3_holidays,929.461144,0.67083
SAN CARLOS,2024_Q3_labor,923.123584,0.00496
SANFRANCISCO,2024_Q3_holidays,44.988072,1e-05
SANFRANCISCO,2024_Q3_labor,45.7186028,1e-05
SNMIGUEL,2024_Q3_holidays,32.5697876,16.3355
SNMIGUEL,2024_Q3_labor,28.345968000000003,0.00294
SOGAMOSO,2024_Q3_holidays,537.512694,118.98969
SOGAMOSO,2024_Q3_labor,545.7664496,111.51935
URRA,2024_Q3_holidays,223.304574,74.30389
URRA,2024_Q3_labor,225.4500476,74.20494000000001
AMOYA,2024_Q4_holidays,45.850138799999996,0.007809999999999999
AMOYA,2024_Q4_labor,47.1698728,0.00135
BETANIA,2024_Q4_holidays,60.484288,59.42281
BETANIA,2024_Q4_labor,60.5522796,59.164809999999996
CALIMA,2024_Q4_holidays,87.473652,0.01688
CALIMA,2024_Q4_labor,85.7750848,0.00349
CHIVOR,2024_Q4_holidays,237.219614,0.2471
CHIVOR,2024_Q4_labor,397.1928424,0.00483
CUCUANA,2024_Q4_holidays,22.387537599999998,0.06929
CUCUANA,2024_Q4_labor,21.711906,0.01745
C_LLERAS_R,2024_Q4_holidays,53.404362,3.96478
C_LLERAS_R,2024_Q4_labor,53.22965,0.09328
DARIO VALENC,2024_Q4_holidays,68.901626,0.03696
DARIO VALENC,2024_Q4_labor,95.52780680000001,0.060200000000000004
EL QUIMBO,2024_Q4_holidays,101.0424664,77.49339
EL QUIMBO,2024_Q4_labor,172.015526,8.35747
ESCUELAMINAS,2024_Q4_holidays,35.188086,8.70785
ESCUELAMINAS,2024_Q4_labor,31.812511999999998,2.3851
ESMERALDA,2024_Q4_holidays,29.0311164,8.999999999999999e-05
ESMERALDA,2024_Q4_labor,29.214866,1e-05
GUATAPE,2024_Q4_holidays,411.41856,1.392
GUATAPE,2024_Q4_labor,409.36707359999997,0.672
GUAVIO,2024_Q4_holidays,249.55700879999998,0.00307
GUAVIO,2024_Q4_labor,447.60791720000003,0.00017999999999999998
H_ALBAN,2024_Q4_holidays,226.8,2.16
H_ALBAN,2024_Q4_labor,258.69768,0.08
H_GUATRON,2024_Q4_holidays,430.8968096,3.01
H_GUATRON,2024_Q4_labor,430.2568,0.06
H_PAGUA,2024_Q4_holidays,400.2141632,1e-05
H_PAGUA,2024_Q4_labor,400.14249920000003,1e-05
ITUANGO,2024_Q4_holidays,585.3154768,1.10715
ITUANGO,2024_Q4_labor,599.7483516000001,0.0001
JAGUAS,2024_Q4_holidays,117.176822,8.863010000000001
JAGUAS,2024_Q4_labor,105.402978,0.00079
LA TASAJERA,2024_Q4_holidays,203.27999,7.00333
LA TASAJERA,2024_Q4_labor,203.13329000000002,0.33
MIEL I,2024_Q4_holidays,191.55910199999997,30.96207
MIEL I,2024_Q4_labor,245.18386959999995,0.09197
PLAYAS,2024_Q4_holidays,204.96,0.36
PLAYAS,2024_Q4_labor,204.96,0.01
PORCE II,2024_Q4_holidays,267.95004,0.322
PORCE II,2024_Q4_labor,268.73204,1.334
PORCE III,2024_Q4_holidays,694.276888,0.43562
